sim_time,vid,latency_s,task_id,action_idx,action_name
1.0,init_29,9.403573935298605,1,8,8
1.0,init_31,2.9071077915409362,2,15,15
1.5,init_22,6.512061679186193,5,1,1
1.0,init_10,3.556038686576218,3,13,13
1.0,init_25,6.4980075243128255,4,11,11
1.5,init_17,5.277991357245943,6,3,3
1.5,init_38,9.553656529733487,7,1,1
1.5,init_42,3.9542546298046846,8,15,15
1.5,init_36,1.8887045180262951,9,11,11
2.0,init_8,3.185569024186627,11,0,0
2.5,init_45,3.0886861165447694,14,7,7
2.0,init_39,7.367715375569241,12,15,15
2.5,init_10,7.190414177795082,15,7,7
2.0,init_25,8.266652293331633,13,14,14
1.5,init_7,4.2081858742254274,10,14,14
2.5,init_33,6.091111429526457,16,4,4
2.5,init_48,3.0432354614857706,17,8,8
3.0,init_21,3.387722977668031,18,6,6
3.0,init_38,3.720436778608041,19,3,3
3.5,init_14,3.7225705476036532,21,8,8
3.0,init_12,10.099663814854855,20,5,5
3.5,init_11,3.97237740619662,22,2,2
4.0,init_3,9.221169391249951,24,8,8
3.5,init_36,10.180489887948742,23,4,4
4.0,init_18,2.4310340550085585,25,6,6
4.0,init_19,3.245472498388085,26,16,16
4.0,init_48,2.929296666678539,27,5,5
4.5,init_45,6.01262128722929,28,16,16
4.5,init_21,5.2143936778064965,29,7,7
5.0,init_13,2.778824417767703,31,9,9
5.0,init_34,10.76531206154104,30,0,0
5.5,init_18,4.791547325457474,32,1,1
6.0,init_15,3.931405462772293,34,16,16
6.0,init_8,11.56759574340266,33,4,4
6.0,init_40,8.150396107368131,35,15,15
7.5,init_43,5.195540239792351,36,13,13
7.5,init_40,1.3307434736615413,37,6,6
7.5,init_5,2.3704142249821154,38,2,2
7.5,init_36,1.9826435517168062,39,10,10
8.0,init_17,4.247948567232057,41,3,3
8.0,init_9,15.580726269560508,40,4,4
8.5,init_22,3.1304738092064373,44,16,16
8.5,init_11,8.532111249895168,45,3,3
9.0,init_37,12.359007012492947,46,13,13
9.5,init_18,3.744204649751532,49,6,6
8.5,init_23,5.4489760701483565,43,1,1
8.5,init_15,3.123502637232958,42,12,12
9.0,init_27,3.8037255221137216,47,5,5
9.5,init_37,3.0709443042469395,48,12,12
9.5,init_19,5.715543894901131,50,6,6
10.0,init_27,5.249157071296857,52,12,12
10.5,init_38,10.175382918145704,53,15,15
10.0,init_31,3.05453718058339,51,14,14
11.0,init_15,9.444349969352508,54,16,16
11.5,init_9,1.122144211994203,57,0,0
11.0,init_32,10.272321803717041,55,9,9
11.0,init_7,7.763232855455496,56,15,15
12.0,init_48,17.182977238828453,58,4,4
12.5,init_37,13.437868273583868,59,0,0
14.0,init_43,18.238018055492834,64,4,4
12.5,init_23,2.9686336699937006,60,5,5
13.5,init_31,8.797560783079808,62,2,2
14.0,init_44,3.5100285850284183,66,8,8
13.0,init_22,3.3752978264293736,61,2,2
13.5,init_28,3.3694598305898955,63,16,16
14.0,init_25,2.725939016990223,65,9,9
14.5,init_27,8.81557185957147,67,3,3
15.0,init_32,5.717985123589355,68,13,13
15.5,init_25,1.49174813991375,69,1,1
16.0,init_9,16.032561224756886,70,16,16
16.5,init_15,8.887955509966652,72,3,3
16.5,init_22,3.615259641263359,74,15,15
16.0,init_25,8.400176272208023,71,16,16
16.5,init_3,6.060676820327462,73,0,0
18.0,init_3,5.619006239866787,78,1,1
17.0,init_46,5.227672620266447,75,8,8
17.5,init_3,5.350427415770335,76,15,15
18.0,init_25,3.5878245045134274,79,14,14
17.5,init_22,6.809327524556489,77,13,13
18.0,init_13,4.2813162914317004,80,2,2
18.5,init_47,9.97827901923486,81,8,8
18.5,init_30,2.531471381866197,82,10,10
19.0,init_23,11.018269299763496,84,1,1
19.0,init_3,3.492813719094967,83,10,10
19.0,init_6,27.177576525995953,86,4,4
19.0,init_22,15.58436451486713,85,4,4
19.5,init_0,3.0128299711617226,87,9,9
20.0,init_15,5.896117145523333,88,13,13
20.0,init_39,3.231958674694411,89,14,14
20.5,init_24,2.7896836888066363,90,12,12
21.0,init_31,6.85527661449291,91,2,2
21.0,init_49,5.932645057972177,93,10,10
22.0,init_24,6.263521621265134,96,10,10
