sim_time,vid,latency_s,task_id,action_idx,action_name
sim_time,vid,latency_s,task_id,action_idx,action_name
1.0,init_31,3.3310330471432414,2,15,15
1.0,init_3,3.812155385398092,4,11,11
1.0,init_41,9.439099263362184,5,3,3
1.0,init_11,11.055304851460471,6,4,4
1.5,init_13,5.351810929828323,7,1,1
1.5,init_35,5.746566818896851,8,15,15
2.0,init_13,7.006930623279702,9,13,13
2.0,init_19,18.00805271319388,11,1,1
2.0,init_31,2.658796713914113,10,10,10
2.0,init_43,6.873182246047908,13,13,13
2.0,init_11,7.085492098544082,14,4,4
2.0,init_28,5.323599860335474,12,16,16
2.5,init_27,20.919156127808392,15,1,1
2.5,init_25,6.469635246251983,16,4,4
2.5,init_35,5.586883257148814,17,7,7
3.0,init_24,3.3909724295095676,18,9,9
3.5,init_47,3.2497157144444113,19,10,10
4.0,init_41,2.696236809147866,23,5,5
3.5,init_40,5.323677925208731,20,10,10
4.0,init_19,3.4846026357003774,22,6,6
4.0,init_8,2.2944209075234445,21,7,7
4.0,init_10,4.5388501388472715,24,5,5
4.0,init_17,7.085481623360964,25,3,3
4.5,init_10,14.287000016870836,26,16,16
5.0,init_20,8.41200453108841,27,4,4
5.0,init_39,5.226843282953158,28,11,11
5.0,init_11,6.29726800950591,29,3,3
5.0,init_46,11.601786324843651,30,1,1
6.0,init_23,5.41346996606402,33,2,2
5.5,init_22,3.7706743383538104,31,9,9
6.0,init_41,4.833136369865062,32,5,5
6.0,init_0,16.31271662242512,34,14,14
7.0,init_39,4.448633867330321,35,15,15
7.0,init_5,3.0522609656636934,36,14,14
7.0,init_46,5.579123911074721,37,5,5
7.5,init_33,9.849779851474803,38,4,4
7.5,init_16,6.294959925727608,39,13,13
7.5,init_9,2.6047202574213504,40,7,7
7.5,init_1,10.479918404796503,41,1,1
8.0,init_42,3.0973614682990354,44,15,15
8.5,init_16,3.637282791861959,46,11,11
8.0,init_6,2.7888841087665046,42,9,9
8.5,init_21,9.997633791365056,47,4,4
8.0,init_46,4.499766331167289,45,2,2
8.0,init_20,12.197663204259644,43,0,0
8.5,init_20,5.015518476066578,48,7,7
8.5,init_41,2.2338388339474595,49,8,8
8.5,init_38,6.339237545614127,50,3,3
10.0,init_3,7.063634747955485,53,16,16
10.0,init_20,4.5969417658776015,52,13,13
9.5,init_41,9.098820721838926,51,16,16
10.5,init_0,10.21250829736145,56,14,14
10.5,init_2,19.5902741324614,57,1,1
10.0,init_30,11.54876139541207,54,16,16
10.5,init_42,2.760940026048804,55,11,11
11.0,init_26,15.424395571913692,58,4,4
11.0,init_42,16.458341219428117,59,0,0
11.0,init_35,9.51829638687712,60,7,7
11.5,init_7,2.7460828536935753,62,6,6
11.0,init_22,3.3765258368882973,61,9,9
12.5,init_15,13.982987152040863,66,8,8
12.5,init_39,3.7744389291013327,68,15,15
12.0,init_18,3.2906536759481684,65,3,3
12.5,init_20,2.5608153991724074,67,5,5
12.5,init_11,8.52745054715863,69,2,2
12.0,init_9,5.077242086906166,64,7,7
12.0,init_15,3.9713860344729275,63,14,14
12.5,init_37,12.07705691984128,70,16,16
14.5,init_29,5.499251301669384,76,14,14
13.0,init_25,8.375825114928599,71,13,13
13.5,init_27,16.26904159874909,72,5,5
14.5,init_37,2.0870698005397204,77,12,12
13.5,init_1,3.5404750975434474,73,0,0
14.5,init_39,6.606640745145132,75,15,15
15.0,init_19,4.021607131371656,78,3,3
14.0,init_18,2.3381597614171654,74,11,11
15.0,init_28,6.688784260027639,79,3,3
15.0,init_2,27.81321124553718,80,1,1
15.5,init_28,6.387628839310795,81,14,14
16.5,init_32,8.17739963606256,84,0,0
17.0,init_33,6.164353070274766,85,6,6
16.5,init_8,10.472132888853906,83,1,1
17.0,init_7,4.803307803133503,86,3,3
15.5,init_0,5.696014355203571,82,12,12
17.0,init_28,2.9566474473013713,87,8,8
17.5,init_26,3.7596862593910063,88,12,12
17.5,init_14,2.0528441270818587,89,13,13
17.5,init_40,1.9592015138407493,90,10,10
18.5,init_18,2.162873054387276,92,10,10
19.5,init_22,2.7456849310416356,96,9,9
18.5,init_9,11.771021571781475,91,1,1
19.0,init_38,2.876081766828937,94,7,7
19.0,init_18,6.067781452349532,93,10,10
19.5,init_47,0.994103423239592,95,13,13
20.0,init_45,2.5978080919195676,97,8,8
20.0,init_17,5.6122698741149755,98,3,3
20.5,init_32,13.257736366239442,99,0,0
20.5,init_22,3.4713141405232286,101,0,0
21.0,init_45,6.5600451949419645,102,13,13
21.5,init_41,2.5658985856956082,104,9,9
20.5,init_43,2.4208095744735454,100,4,4
21.5,init_36,2.2718236239237015,105,12,12
22.0,init_18,6.061791374242958,106,4,4
21.5,init_27,17.198583147879678,103,5,5
22.0,init_41,5.310264123171894,107,6,6
22.0,init_38,2.6884006090676307,108,11,11
22.5,init_21,6.631553921497276,109,4,4
22.5,init_10,13.07860826342073,110,1,1
24.0,init_28,11.704538582760202,117,13,13
23.5,init_24,3.559081910158257,116,14,14
22.5,init_46,9.852207327218345,111,4,4
23.5,init_26,5.292101109228849,114,16,16
23.5,init_31,9.06534633390541,113,13,13
23.5,init_11,1.4294700664871915,115,14,14
24.0,init_3,1.2848827482099274,118,5,5
24.5,init_16,7.134562792564859,119,16,16
22.5,init_0,6.345663605205893,112,3,3
25.0,init_19,17.244170402102117,122,13,13
24.5,init_8,2.14782147308248,120,6,6
24.5,init_47,6.443473310844485,121,14,14
25.0,init_3,3.54894862479919,123,8,8
25.5,init_2,14.29968141879549,126,13,13
25.5,init_33,9.472327503488962,124,3,3
26.0,init_45,23.190267732257276,127,14,14
25.5,init_31,2.9599772941436306,125,7,7
26.0,init_41,5.4441356060403265,128,15,15
26.0,init_24,0.8985304823242289,129,0,0
28.0,init_15,4.340036554231623,135,15,15
26.0,init_35,2.5161220046058634,130,10,10
26.5,init_21,5.003358696297438,131,5,5
27.5,init_5,9.439089475856532,133,1,1
26.5,init_25,5.963837735691749,132,4,4
27.5,init_40,3.074207726459407,134,12,12
28.5,init_19,4.91578298132089,136,6,6
28.5,init_42,2.5213808119904835,137,11,11
28.5,init_1,3.7884272117458453,138,10,10
