sim_time,vid,latency_s,task_id,action_idx,action_name
29.5,init_25,5.676449519896536,145,10,10
29.5,init_49,2.3287675069523277,143,10,10
30.0,init_5,2.979636704798521,146,3,3
28.5,init_48,3.8575535706979864,140,16,16
30.0,init_43,3.181802179274667,147,7,7
30.5,init_35,7.659568270280775,149,12,12
30.5,init_9,0.9833871046740807,148,0,0
28.5,init_36,2.918220192683748,141,6,6
30.5,init_13,4.5349488362427,151,10,10
30.5,init_46,3.6685226327680875,150,0,0
31.0,init_4,9.008547493389207,153,0,0
31.0,init_38,1.98456522918426,154,8,8
31.0,init_14,2.9551579180338985,155,9,9
31.0,init_43,4.055037931947646,156,10,10
32.5,init_8,4.8529671327519255,158,8,8
30.5,init_1,2.9496794643153494,152,6,6
31.5,init_31,1.2487615850099973,157,9,9
33.0,init_4,8.23520162992827,159,5,5
33.0,init_40,2.8084690435868773,160,13,13
33.5,init_29,3.654774047367378,161,10,10
34.0,init_20,2.793151478166579,166,9,9
33.5,init_5,4.111318567194827,162,3,3
33.5,init_8,2.3883798746837672,163,8,8
34.0,init_33,3.159803405120279,167,12,12
34.0,init_17,4.110217917776006,165,10,10
34.0,init_30,4.614739083646718,164,7,7
34.5,init_9,3.7635777047839567,168,11,11
34.5,init_49,3.955748161111372,169,9,9
34.5,init_16,1.6762481137664755,170,6,6
36.0,init_40,5.562481285662052,175,11,11
36.0,init_13,4.863339834551512,177,10,10
34.5,init_13,3.558092920481646,171,6,6
36.0,init_3,2.252156575165274,173,2,2
36.0,init_29,2.4425076697519623,174,8,8
35.5,init_37,5.342155214347538,172,6,6
36.5,init_8,3.0755942654022945,179,5,5
36.5,init_14,3.3811821004513334,178,12,12
36.0,init_26,4.490597228583558,176,7,7
36.5,init_26,5.091966849379905,180,10,10
37.0,init_1,4.526969198902852,184,6,6
37.0,init_9,5.208631267506073,181,9,9
37.0,init_3,4.646893141637641,182,2,2
37.5,init_11,5.0454928394482925,186,12,12
37.5,init_10,7.319649508777747,185,11,11
37.0,init_14,4.578854830865816,183,7,7
37.5,init_19,4.060645803852707,187,7,7
38.0,init_3,3.7255874584245756,189,3,3
37.5,init_13,3.859542738453775,188,5,5
38.5,init_21,10.904157683597594,190,14,14
39.0,init_43,5.557677285231186,193,10,10
39.0,init_29,4.119050036445322,192,12,12
39.5,init_38,2.7263703654380307,196,8,8
39.5,init_39,7.1366819356974736,194,10,10
40.5,init_2,2.2566297645982414,197,11,11
38.5,init_43,6.670938885279691,191,0,0
39.5,init_35,8.81821910044513,195,1,1
40.5,init_25,12.648658668232562,198,12,12
40.5,init_26,3.621992787036578,199,6,6
40.5,init_15,7.804317445815691,200,1,1
41.5,init_27,4.81841481519748,204,12,12
41.0,init_36,1.7213712395589635,201,3,3
42.0,init_14,3.6013405151151705,207,9,9
41.5,init_42,3.22486853810865,203,14,14
42.0,init_44,4.444519896672856,208,7,7
41.5,init_25,4.366576729181212,206,11,11
41.5,init_23,4.036606210272802,205,15,15
41.0,init_43,2.192285834982505,202,7,7
43.0,init_44,3.8757119937207314,209,9,9
43.0,init_31,6.467717794951086,210,8,8
44.0,init_35,4.452997075828769,212,1,1
43.5,init_37,4.586318366140031,211,6,6
44.5,init_13,3.808344186499874,217,6,6
44.0,init_21,3.5365470211801404,215,6,6
45.0,init_39,5.314325659655404,218,10,10
44.0,init_48,2.520757222004041,213,8,8
44.0,init_26,4.5858110508308485,214,10,10
44.5,init_10,4.818956634784919,216,13,13
45.0,init_4,4.007179605323771,219,2,2
45.5,init_27,4.136338665502618,223,8,8
45.0,init_29,3.726460240961974,220,11,11
45.5,init_35,7.84377892993038,222,12,12
45.0,init_24,2.8741125585700575,221,14,14
47.0,init_40,3.9277049188414965,229,11,11
46.0,init_16,3.097216148342727,225,6,6
46.5,init_7,3.8254746201215237,226,7,7
45.5,init_24,4.71846279240328,224,9,9
47.0,init_12,10.212440095678211,228,1,1
46.5,init_44,0.8816976221977819,227,0,0
47.5,init_13,3.827634644502866,230,5,5
48.5,init_10,3.9324315342239218,232,13,13
49.0,init_44,2.8617368252703255,236,3,3
48.5,init_28,4.012167209419192,234,12,12
49.5,init_26,4.461262026086243,238,4,4
48.5,init_14,2.3102144731965764,233,12,12
48.0,init_18,3.1988587326208506,231,10,10
48.5,init_20,2.2092919881076742,235,5,5
49.0,init_21,3.412820401793959,237,8,8
50.0,init_3,2.277768116800897,239,5,5
50.0,init_24,2.463197417472724,240,6,6
50.0,init_1,4.0786202502680196,242,2,2
50.5,init_35,2.4810513444319953,243,9,9
50.5,init_25,3.275103613609742,244,11,11
50.0,init_8,5.561563056595518,241,11,11
51.0,init_49,2.8003210542345864,246,9,9
51.5,init_39,2.2790176211125117,248,10,10
50.5,init_21,2.8660777222121805,245,6,6
51.0,init_36,1.295505155225193,247,0,0
51.5,init_17,3.6596491838067764,249,14,14
51.5,init_11,3.2474019086347434,251,12,12
52.0,init_39,3.0056741684311,253,10,10
52.0,init_37,4.492984407167828,256,6,6
52.0,init_27,4.355822990075689,255,11,11
51.5,init_7,2.325375211486234,250,8,8
52.0,init_38,4.35763398822052,254,8,8
51.5,init_43,3.0017482509848907,252,10,10
52.0,init_1,3.6640396630094734,257,6,6
52.5,init_23,2.160217035541326,259,7,7
52.5,init_10,2.178110035098207,258,13,13
53.0,init_9,10.181476695523994,260,11,11
53.0,init_44,10.594222382827025,262,0,0
53.0,init_37,7.84087400475584,263,1,1
