sim_time,vid,latency_s,task_id,action_idx,action_name
60.5,init_15,14.824392661010464,246,,
60.0,init_15,5.48320027176988,242,,
60.5,init_45,4.666513186535398,247,,
61.0,init_36,3.6558226038708717,250,,
60.5,init_1,7.062747812804847,248,,
61.0,init_6,8.37552371618381,251,,
60.5,init_11,2.0865878960283726,249,,
62.0,init_32,5.835116834170372,253,,
61.0,init_38,5.561078067707225,252,,
62.5,init_33,2.5727243852567563,254,,
63.0,init_32,3.2973348831271747,255,,
64.5,init_5,3.493433407708679,256,,
64.5,init_33,9.91491005438425,257,,
65.0,init_4,19.1028001463232,260,,
65.5,init_45,3.0685049211508364,262,,
65.5,init_35,2.439709081860482,261,,
65.5,init_48,6.648176085435781,263,,
65.0,init_7,3.403561186583377,259,,
66.0,init_26,5.947418821074319,264,,
64.5,init_22,2.2087578525037235,258,,
66.5,init_5,7.249202788348299,265,,
66.5,init_48,4.711185414801889,266,,
67.0,init_7,2.5076034272739154,267,,
67.5,init_19,3.532146343852915,268,,
68.0,init_5,2.57023770909941,269,,
68.5,init_14,10.12669464977323,270,,
69.0,init_16,3.3080957392664754,272,,
68.5,init_11,7.693924173921783,271,,
69.5,init_43,3.3228770728793786,273,,
69.5,init_33,4.976757731452019,274,,
70.5,init_9,3.332857502445733,275,,
71.0,init_47,4.322546679746099,276,,
71.0,init_34,6.170087299066381,277,,
71.5,init_4,6.40357130808416,278,,
72.5,init_14,4.849831085547259,280,,
72.0,init_47,13.883395299042109,279,,
72.5,init_49,4.548387291195645,281,,
72.5,init_46,6.104067181854801,282,,
73.5,init_43,1.0366022456168877,283,,
73.5,init_11,7.092728794085914,284,,
74.0,init_16,2.729352889054204,285,,
74.0,init_14,4.709359391573123,286,,
74.0,init_1,13.157952206078152,287,,
74.5,init_12,9.069920718540402,288,,
74.5,init_37,1.2588015940814166,290,,
75.5,init_9,4.838360289433883,292,,
75.0,init_41,4.530879995154219,291,,
74.5,init_48,5.686294132458411,289,,
76.5,init_7,2.8413692096133385,293,,
76.5,init_1,2.357076519368449,294,,
76.5,init_38,5.39710347638158,295,,
77.0,init_29,1.2516254520363956,296,,
77.0,init_7,4.330536852724347,297,,
77.5,init_8,1.988817581272487,302,,
77.0,init_17,3.3287039342849236,298,,
77.0,init_22,7.203097316862127,299,,
77.5,init_10,6.397894935117979,303,,
77.0,init_30,13.1060610490712,300,,
77.0,init_9,8.183828607998064,301,,
78.0,init_41,2.9293462630452343,304,,
78.0,init_12,3.8635162326433097,305,,
78.5,init_41,6.997970275751814,306,,
79.5,init_43,6.576719547030605,310,,
79.0,init_12,2.1715997403303966,308,,
79.0,init_48,8.668761804840644,309,,
78.5,init_35,4.873367070636015,307,,
80.5,init_12,11.571180963337206,313,,
80.5,init_16,3.61547058433667,312,,
80.5,init_46,8.543198419281419,314,,
80.5,init_32,1.257308811381054,315,,
80.5,init_26,8.722598386595443,311,,
81.0,init_6,3.0370418743432146,316,,
82.0,init_10,2.6577700853182833,319,,
81.5,init_42,1.7655607625522403,318,,
81.0,init_22,3.9728277918808264,317,,
82.5,init_42,11.22554295170069,321,,
83.5,init_7,3.0743848239737055,323,,
82.0,init_22,8.064104878174078,320,,
83.0,init_19,2.2198101721987533,322,,
83.5,init_1,3.1585260354324487,324,,
84.0,init_23,3.745032342239838,325,,
84.0,init_13,3.1323488977849023,326,,
84.5,init_14,2.8620320606070218,327,,
85.0,init_27,4.107040335541507,329,,
86.0,init_22,2.1536253249295996,330,,
86.0,init_13,1.5456354180327725,331,,
84.5,init_31,8.163794898734377,328,,
86.5,init_26,2.9941071112587303,332,,
86.5,init_29,5.716592821192919,333,,
